paper_id,assigned_agent
5634005802632942786,1
8608037420384244332,2
3188779940999503071,3
1203538209449296219,4
667270104634277606,5
4551758454130549467,6
7434120424009548270,7
5491793550863891849,8
3172532102657841963,9
2979027912599204902,10
338201055510510724,11
337202698952284361,12
335244468742819020,13
4110924518072083091,14
4749055741428837038,15
2922426078850415078,16
7000577312834237760,17
paper:2519737537631186480,18
7288047849401208828,19
1186466401144453217,20
8318184824090572372,21
paper:3191642339254174440,22
7974977515349955058,23
695909273547980599,1
6171449691587333019,2
6401622440267043400,3
2185762845452832338,4
7000562644173252603,5
2474849675059827596,6
5998492958162904716,7
2684679195894004220,8
1516772447163495565,9
5268391883537348948,10
4006638545805040945,11
3477274274502234626,12
2330707948166606175,13
5884114426792157395,14
3301234174747537124,15
7406164041413490496,16
4939152418453747647,17
7127437920823978486,18
1575121977780858744,19
8859930875088945439,20
3154446290545260101,21
4928585230074013741,22
8708928308217574538,23
4138142164657463012,1
4829495359740640544,2
426729849443720012,3
7865425227327049431,4
paper:9041079134988418992,5
5731255064663698235,6
5089864852119497084,7
7410104781784943033,8
3607758249959625794,9
7066535919220542299,10
7728885022417538582,11
8521346178484047786,12
5227381937564549303,13
8869541691629588798,14
8183393621315413490,15
7529615211258618927,16
1381304480882885286,17
740560841751875654,18
4540879885082082729,19
275365207706791841,20
8186508136804464944,21
8881232397816983027,22
paper:3799408001921119939,23
1979391020150354898,1
1978409156266551700,2
678452160525643206,3
6914299372930361226,4
7492212721229651631,5
2854168262037277207,6
6719814675954694099,7
5471013497088986483,8
paper:4751966682714937130,9
1063476993833424104,10
2694473537651908628,11
8524262083671739302,12
5047228121893456402,13
3434029611882743811,14
5178064442175568684,15
3067399962883869378,16
paper:4262314953318008104,17
paper:7159082831649230452,18
paper:2950079168762564030,19
7686188609117160736,20
4812379650923128571,21
7124434953197182767,22
3799459563473477036,23
7509813927081745493,1
4943232043604725586,2
paper:28292882902421211,3
paper:4295266359966343141,4
6080059049997530992,5
7928890770130937146,6
6076069792843966956,7
2909626764759929792,8
55783823549365606,9
164291128922978147,10
885044094341911085,11
7863506033513347793,12
7510785182070914128,13
3860974450908273774,14
5727111817036418680,15
4916214018836402626,16
5975973966406579709,17
4764149497769270447,18
2362677526915156555,19
